name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent,y
A.J. Feeley,FeelA.00,11.625,20.625,142.125,0.875,0.75,0.875,0.0,0.625,0.5,0.5636363636363636,6.890909090909091,0.04242424242424243,0.03636363636363636,23,18,11,0.4782608695652174,0
Aaron Brooks,BrooAa00,14.125,24.25,189.25,1.125,0.75,1.875,0.0,0.375,0.375,0.5824742268041238,7.804123711340206,0.04639175257731959,0.030927835051546393,92,91,39,0.42391304347826086,1
Aaron Rodgers,RodgAa00,11.75,19.0,136.75,0.625,0.125,1.875,0.5,0.25,0.25,0.618421052631579,7.197368421052632,0.03289473684210526,0.006578947368421052,167,164,106,0.6347305389221557,1
Adrian Burk,BurkAd00,4.25,12.0,82.0,0.75,1.25,0.0,0.0,0.0,0.0,0.3541666666666667,6.833333333333333,0.0625,0.10416666666666667,51,39,18,0.35294117647058826,0
Akili Smith,SmitAk00,9.875,18.875,99.25,0.25,0.75,2.375,0.0,0.125,0.125,0.5231788079470199,5.258278145695364,0.013245033112582781,0.039735099337748346,16,14,2,0.125,0
Al Dorow,DoroAl00,6.875,13.625,97.0,0.625,1.625,0.0,0.0,0.25,0.25,0.5045871559633027,7.1192660550458715,0.045871559633027525,0.11926605504587157,43,37,19,0.4418604651162791,0
Alex Smith,SmitAl03,7.75,15.625,85.25,0.0,1.25,3.0,0.0,0.125,0.125,0.496,5.456,0.0,0.08,166,164,95,0.572289156626506,1
Andrew Luck,LuckAn00,16.75,31.25,209.25,0.875,0.875,2.0,0.5,0.375,0.375,0.536,6.696,0.028,0.028,84,84,49,0.5833333333333334,1
Andy Dalton,DaltAn00,14.75,23.625,163.875,0.875,0.625,1.25,0.125,0.5,0.5,0.6243386243386243,6.936507936507937,0.037037037037037035,0.026455026455026454,120,120,68,0.5666666666666667,1
Archie Manning,MannAr00,7.0,14.875,99.625,0.625,0.75,0.0,0.0,0.25,0.25,0.47058823529411764,6.697478991596639,0.04201680672268908,0.05042016806722689,131,125,32,0.24427480916030533,1
Austin Davis,DaviAu00,16.875,25.625,190.0,1.125,0.5,1.875,0.5,0.25,0.25,0.6585365853658537,7.414634146341464,0.04390243902439024,0.01951219512195122,11,10,3,0.2727272727272727,0
Babe Parilli,PariBa00,5.125,12.0,92.125,1.125,1.125,0.0,0.0,0.625,0.25,0.4270833333333333,7.677083333333333,0.09375,0.09375,133,99,60,0.45112781954887216,1
Bart Starr+,StarBa00,7.375,14.5,104.625,0.625,0.75,0.0,0.0,0.125,0.125,0.5086206896551724,7.2155172413793105,0.04310344827586207,0.05172413793103448,149,145,95,0.6375838926174496,1
Ben Roethlisberger,RoetBe00,12.0,17.125,141.625,1.125,0.5,0.875,0.0,0.625,0.625,0.7007299270072993,8.27007299270073,0.06569343065693431,0.029197080291970802,229,227,154,0.6724890829694323,1
Bernie Kosar,KosaBe00,7.875,15.5,107.625,0.375,0.75,0.75,0.0,0.25,0.125,0.5080645161290323,6.943548387096774,0.024193548387096774,0.04838709677419355,116,112,57,0.49137931034482757,1
Bert Jones,JoneBe00,5.375,13.25,67.375,0.5,1.5,0.0,0.0,0.125,0.125,0.4056603773584906,5.084905660377358,0.03773584905660377,0.11320754716981132,100,96,46,0.46,1
Bill Kenney,KennBi00,10.625,20.125,148.25,1.0,1.0,0.75,0.0,0.5,0.5,0.5279503105590062,7.366459627329193,0.049689440993788817,0.049689440993788817,81,76,36,0.4444444444444444,1
Bill Munson,MunsBi00,8.0,16.375,104.875,0.75,1.0,0.0,0.0,0.25,0.25,0.48854961832061067,6.404580152671755,0.04580152671755725,0.061068702290076333,79,66,28,0.35443037974683544,0
Bill Nelsen,NelsBi00,7.125,16.0,111.25,0.25,1.125,0.0,0.0,0.0,0.0,0.4453125,6.953125,0.015625,0.0703125,80,77,41,0.5125,1
Bill Troup,TrouBi00,9.5,18.75,120.25,0.625,1.75,0.0,0.0,0.25,0.25,0.5066666666666667,6.413333333333333,0.03333333333333333,0.09333333333333334,12,11,3,0.25,0
Billy Kilmer,KilmBi00,8.125,16.875,109.375,0.5,0.75,0.0,0.0,0.125,0.0,0.48148148148148145,6.481481481481482,0.02962962962962963,0.044444444444444446,125,115,64,0.512,1
Billy Volek,VoleBi00,17.375,28.25,178.125,1.125,0.625,1.75,0.0,0.375,0.25,0.6150442477876106,6.3053097345132745,0.03982300884955752,0.022123893805309734,15,10,5,0.3333333333333333,0
Billy Wade,WadeBi00,8.5,16.125,117.875,0.625,0.5,0.0,0.0,0.25,0.0,0.5271317829457365,7.310077519379845,0.03875968992248062,0.031007751937984496,95,80,44,0.4631578947368421,1
Bob Avellini,AvelBo00,8.75,16.875,131.25,0.75,1.25,0.0,0.0,0.375,0.375,0.5185185185185185,7.777777777777778,0.044444444444444446,0.07407407407407407,47,44,19,0.40425531914893614,0
Bob Berry,BerrBo00,7.75,15.875,145.5,0.875,1.625,0.0,0.0,0.125,0.125,0.4881889763779528,9.165354330708661,0.05511811023622047,0.10236220472440945,53,49,20,0.37735849056603776,0
Bob Celeri,CeleBo00,8.375,20.125,139.5,0.625,1.125,0.0,0.0,0.0,0.0,0.4161490683229814,6.931677018633541,0.031055900621118012,0.055900621118012424,13,10,1,0.07692307692307693,0
Bob Gagliano,GaglBo00,7.625,15.75,112.375,0.125,1.125,1.75,0.0,0.125,0.125,0.48412698412698413,7.134920634920635,0.007936507936507936,0.07142857142857142,21,13,9,0.42857142857142855,0
Bob Griese+,GrieBo00,10.75,20.875,122.25,0.75,1.125,0.0,0.0,0.125,0.0,0.5149700598802395,5.8562874251497,0.03592814371257485,0.05389221556886228,159,152,96,0.6037735849056604,1
Bobby Douglass,DougBo00,7.375,15.75,88.25,0.5,0.75,0.0,0.0,0.125,0.125,0.46825396825396826,5.603174603174603,0.031746031746031744,0.047619047619047616,54,43,11,0.2037037037037037,0
Bobby Hebert,HebeBo00,12.125,22.625,151.0,0.625,0.5,2.125,0.0,0.25,0.25,0.5359116022099447,6.6740331491712706,0.027624309392265192,0.022099447513812154,111,101,59,0.5315315315315315,1
Bobby Hoying,HoyiBo00,13.375,24.25,164.75,1.125,0.625,2.75,0.0,0.25,0.25,0.5515463917525774,6.793814432989691,0.04639175257731959,0.02577319587628866,16,13,3,0.1875,0
Bobby Layne+,LaynBo00,8.875,21.0,132.0,1.0,1.125,0.0,0.0,0.375,0.375,0.4226190476190476,6.285714285714286,0.047619047619047616,0.05357142857142857,135,126,83,0.6148148148148148,1
Bobby Scott,ScotBo00,5.375,13.875,69.875,0.625,0.75,0.0,0.0,0.25,0.125,0.38738738738738737,5.036036036036036,0.04504504504504504,0.05405405405405406,22,12,6,0.2727272727272727,0
Boomer Esiason,EsiaBo00,11.25,19.125,128.75,1.25,0.5,1.25,0.0,0.375,0.25,0.5882352941176471,6.73202614379085,0.06535947712418301,0.026143790849673203,179,173,84,0.4692737430167598,1
Brad Johnson,JohnBr00,9.25,15.125,97.625,0.375,0.375,0.625,0.0,0.375,0.125,0.6115702479338843,6.454545454545454,0.024793388429752067,0.024793388429752067,139,130,79,0.5683453237410072,1
Brady Quinn,QuinBr00,12.125,23.25,122.875,0.375,0.75,1.75,0.375,0.125,0.125,0.521505376344086,5.28494623655914,0.016129032258064516,0.03225806451612903,19,18,4,0.21052631578947367,0
Brandon Weeden,WeedBr00,16.125,28.875,189.875,0.875,1.25,1.375,0.25,0.125,0.125,0.5584415584415584,6.575757575757576,0.030303030303030304,0.04329004329004329,28,25,8,0.2857142857142857,0
Brett Favre+,FavrBr00,14.625,23.125,160.625,0.75,0.375,2.375,0.0,0.25,0.125,0.6324324324324324,6.945945945945946,0.032432432432432434,0.016216216216216217,321,319,199,0.6199376947040498,1
Brian Griese,GrieBr00,12.5,22.0,164.75,0.875,0.875,1.125,0.0,0.25,0.25,0.5681818181818182,7.488636363636363,0.03977272727272727,0.03977272727272727,86,82,46,0.5348837209302325,1
Brian Hoyer,HoyeBr00,10.5,17.875,112.0,0.625,0.625,1.0,0.125,0.375,0.125,0.5874125874125874,6.265734265734266,0.03496503496503497,0.03496503496503497,45,37,17,0.37777777777777777,0
Brian Sipe,SipeBr00,7.375,13.625,79.375,0.125,0.875,0.0,0.0,0.25,0.25,0.5412844036697247,5.825688073394495,0.009174311926605505,0.06422018348623854,113,109,57,0.504424778761062,1
Browning Nagle,NaglBr00,11.75,23.25,143.375,0.5,0.75,1.125,0.0,0.125,0.125,0.5053763440860215,6.166666666666667,0.021505376344086023,0.03225806451612903,15,14,4,0.26666666666666666,0
Bruce Gradkowski,GradBr00,14.125,26.5,126.25,0.875,0.375,1.875,0.0,0.25,0.25,0.5330188679245284,4.764150943396227,0.0330188679245283,0.014150943396226415,25,19,9,0.36,0
Bubby Brister,BrisBu00,10.375,22.625,166.0,0.625,0.875,1.875,0.0,0.125,0.125,0.4585635359116022,7.337016574585635,0.027624309392265192,0.03867403314917127,83,75,41,0.4939759036144578,1
Butch Songin,SongBu00,7.875,17.75,111.5,0.875,1.375,0.0,0.0,0.125,0.125,0.44366197183098594,6.28169014084507,0.04929577464788732,0.07746478873239436,28,20,12,0.42857142857142855,0
Byron Leftwich,LeftBy00,13.625,23.625,171.0,0.75,1.125,1.625,0.0,0.25,0.25,0.5767195767195767,7.238095238095238,0.031746031746031744,0.047619047619047616,52,50,25,0.4807692307692308,0
Cade McNown,McNoCa00,11.75,20.25,141.5,1.0,1.125,1.875,0.0,0.25,0.125,0.5802469135802469,6.987654320987654,0.04938271604938271,0.05555555555555555,16,13,4,0.25,0
Cam Newton,NewtCa00,16.75,28.625,230.875,0.875,1.125,1.25,0.25,0.125,0.125,0.5851528384279476,8.065502183406114,0.03056768558951965,0.039301310043668124,124,123,71,0.5725806451612904,1
Carson Palmer,PalmCa00,14.5,26.375,152.625,0.625,1.125,1.875,0.0,0.25,0.25,0.5497630331753555,5.786729857819905,0.023696682464454975,0.04265402843601896,183,182,93,0.5081967213114754,1
Chad Henne,ch1,10.125,17.0,104.75,0.5,0.375,1.75,0.25,0.375,0.375,0.5955882352941176,6.161764705882353,0.029411764705882353,0.022058823529411766,58,51,19,0.3275862068965517,0
Chad Hutchinson,HutcCh00,10.5,20.375,134.625,0.625,0.5,2.375,0.0,0.25,0.25,0.5153374233128835,6.607361963190184,0.03067484662576687,0.024539877300613498,14,14,3,0.21428571428571427,0
Chad Pennington,CP01,15.375,21.125,168.25,0.875,0.375,1.25,0.0,0.25,0.25,0.727810650887574,7.964497041420119,0.04142011834319527,0.01775147928994083,90,86,45,0.5,1
Charlie Batch,BatcCh00,12.0,20.875,132.875,0.625,0.75,2.5,0.0,0.25,0.25,0.5748502994011976,6.365269461077844,0.029940119760479042,0.03592814371257485,57,53,26,0.45614035087719296,0
Charlie Conerly,ConeCh00,4.625,11.5,80.125,0.625,0.375,0.0,0.0,0.625,0.375,0.40217391304347827,6.967391304347826,0.05434782608695652,0.03260869565217391,107,77,66,0.616822429906542,1
Charlie Frye,FryeCh00,12.25,20.375,125.25,0.5,0.5,2.75,0.0,0.375,0.25,0.6012269938650306,6.147239263803681,0.024539877300613498,0.024539877300613498,23,22,8,0.34782608695652173,0
Chris Chandler,ChanCh00,8.75,14.75,111.125,0.375,0.875,1.0,0.0,0.5,0.5,0.5932203389830508,7.533898305084746,0.025423728813559324,0.059322033898305086,155,142,69,0.44516129032258067,1
Chris Miller,MillCh00,11.25,22.625,138.875,0.5,1.625,1.375,0.0,0.125,0.125,0.4972375690607735,6.138121546961326,0.022099447513812154,0.0718232044198895,97,93,35,0.36082474226804123,1
Chris Redman,RedmCh00,12.125,22.75,129.25,0.875,0.375,1.375,0.0,0.375,0.375,0.532967032967033,5.681318681318682,0.038461538461538464,0.016483516483516484,16,12,6,0.375,0
Chris Simms,SimmCh00,13.625,23.5,164.875,0.75,1.0,2.375,0.0,0.25,0.25,0.5797872340425532,7.01595744680851,0.031914893617021274,0.0425531914893617,17,15,6,0.35294117647058826,0
Chris Weinke,WeinCh00,16.5,26.75,169.5,0.75,1.25,1.125,0.0,0.125,0.125,0.616822429906542,6.336448598130841,0.028037383177570093,0.04672897196261682,19,18,1,0.05263157894736842,0
Christian Ponder,PondCh00,11.5,21.125,142.625,0.75,0.75,2.25,0.375,0.125,0.125,0.5443786982248521,6.7514792899408285,0.03550295857988166,0.03550295857988166,35,34,13,0.37142857142857144,0
Chuck Long,LongCh00,14.25,24.125,147.0,0.75,0.875,2.125,0.0,0.0,0.0,0.5906735751295337,6.0932642487046635,0.031088082901554404,0.03626943005181347,20,20,4,0.2,0
Cliff Stoudt,StouCl00,9.875,18.25,134.0,0.25,1.125,0.875,0.0,0.25,0.25,0.541095890410959,7.342465753424658,0.0136986301369863,0.06164383561643835,26,21,11,0.4230769230769231,0
Cody Carlson,CarlCo00,7.5,16.125,105.5,0.5,0.875,1.5,0.0,0.25,0.25,0.46511627906976744,6.542635658914729,0.031007751937984496,0.05426356589147287,24,17,10,0.4166666666666667,0
Colin Kaepernick,KaepCo00,12.0,18.125,150.625,0.875,0.25,1.5,1.0,0.5,0.5,0.6620689655172414,8.310344827586206,0.04827586206896552,0.013793103448275862,64,63,32,0.5,1
Colt McCoy,McCoCo00,12.5,19.0,152.25,0.625,0.375,2.375,0.0,0.25,0.25,0.6578947368421053,8.013157894736842,0.03289473684210526,0.019736842105263157,27,24,9,0.3333333333333333,0
Cotton Davidson,DaviCo00,8.75,18.125,95.25,0.625,0.75,0.0,0.0,0.375,0.25,0.4827586206896552,5.255172413793104,0.034482758620689655,0.041379310344827586,67,52,26,0.3880597014925373,0
Craig Erickson,EricCr00,8.875,18.625,119.75,0.75,1.125,1.375,0.0,0.125,0.125,0.47651006711409394,6.429530201342282,0.040268456375838924,0.06040268456375839,38,35,14,0.3684210526315789,0
Craig Morton,MortCr00,8.0,15.0,110.875,1.25,1.25,0.0,0.0,0.25,0.25,0.5333333333333333,7.391666666666667,0.08333333333333333,0.08333333333333333,162,145,90,0.5555555555555556,1
Craig Whelihan,WhelCr00,11.0,22.625,132.5,0.625,1.125,2.0,0.0,0.0,0.0,0.4861878453038674,5.856353591160221,0.027624309392265192,0.049723756906077346,17,14,2,0.11764705882352941,0
Damon Huard,HuarDa00,12.125,21.875,125.875,0.75,0.375,3.0,0.0,0.625,0.5,0.5542857142857143,5.7542857142857144,0.03428571428571429,0.017142857142857144,34,26,16,0.47058823529411764,0
Dan Darragh,DarrDa00,6.875,16.25,80.5,0.375,0.75,0.0,0.0,0.125,0.125,0.4230769230769231,4.953846153846154,0.023076923076923078,0.046153846153846156,14,10,1,0.07142857142857142,0
Dan Fouts+,FoutDa00,8.5,20.375,121.625,0.75,1.5,0.0,0.0,0.0,0.0,0.4171779141104294,5.969325153374233,0.03680981595092025,0.0736196319018405,178,174,89,0.5,1
Dan Marino+,MariDa00,11.875,19.25,152.875,1.625,0.5,0.875,0.0,0.375,0.375,0.6168831168831169,7.941558441558442,0.08441558441558442,0.025974025974025976,258,256,154,0.5968992248062015,1
Dan Orlovsky,OrloDa00,11.375,20.25,133.75,0.625,0.375,1.625,0.375,0.0,0.0,0.5617283950617284,6.604938271604938,0.030864197530864196,0.018518518518518517,15,12,2,0.13333333333333333,0
Dan Pastorini,PastDa00,9.25,20.875,124.0,0.625,1.875,0.0,0.0,0.125,0.125,0.4431137724550898,5.940119760479042,0.029940119760479042,0.08982035928143713,127,117,57,0.44881889763779526,1
Danny Kanell,KaneDa00,7.875,17.0,93.25,0.5,0.375,1.125,0.0,0.5,0.25,0.4632352941176471,5.485294117647059,0.029411764705882353,0.022058823529411766,35,25,12,0.34285714285714286,0
Danny White,dw1,10.25,17.125,121.0,0.75,0.625,0.0,0.0,0.375,0.375,0.5985401459854015,7.065693430656935,0.043795620437956206,0.0364963503649635,106,99,68,0.6415094339622641,1
Daryle Lamonica,LamoDa00,4.875,10.375,75.875,0.5,0.75,0.0,0.0,0.5,0.125,0.46987951807228917,7.313253012048193,0.04819277108433735,0.07228915662650602,107,91,72,0.6728971962616822,1
Daunte Culpepper,CulpDa00,12.75,20.25,177.5,1.375,0.75,2.375,0.0,0.75,0.75,0.6296296296296297,8.765432098765432,0.06790123456790123,0.037037037037037035,104,101,44,0.4230769230769231,1
Dave Brown,BrowDa00,11.125,19.25,135.25,0.75,1.125,1.625,0.0,0.375,0.375,0.577922077922078,7.025974025974026,0.03896103896103896,0.05844155844155844,59,57,23,0.3898305084745763,0
Dave Krieg,KrieDa00,11.75,19.75,140.875,1.0,0.625,2.625,0.0,0.25,0.25,0.5949367088607594,7.132911392405063,0.05063291139240506,0.03164556962025317,192,181,103,0.5364583333333334,1
David Archer,ArchDa00,9.25,16.125,117.5,0.5,1.0,2.25,0.0,0.25,0.125,0.5736434108527132,7.286821705426356,0.031007751937984496,0.06201550387596899,27,23,10,0.37037037037037035,0
David Carr,CarrDa00,9.75,19.625,125.5,0.75,0.75,4.875,0.0,0.125,0.125,0.4968152866242038,6.3949044585987265,0.03821656050955414,0.03821656050955414,79,75,22,0.27848101265822783,0
David Garrard,GarrDa00,9.0,17.5,88.25,0.5,0.125,1.125,0.0,0.25,0.125,0.5142857142857142,5.042857142857143,0.02857142857142857,0.007142857142857143,81,78,41,0.5061728395061729,1
David Klingler,KlinDa00,10.375,20.375,111.25,0.5,0.625,3.25,0.0,0.125,0.125,0.50920245398773,5.460122699386503,0.024539877300613498,0.03067484662576687,26,23,4,0.15384615384615385,0
DeShone Kizer,KizeDe00,11.625,22.375,120.625,0.375,1.375,1.5,0.375,0.0,0.0,0.5195530726256983,5.391061452513966,0.01675977653631285,0.061452513966480445,15,15,0,0.0,0
Dennis Shaw,ShawDe00,10.0,16.875,164.25,0.625,1.125,0.0,0.0,0.375,0.375,0.5925925925925926,9.733333333333333,0.037037037037037035,0.06666666666666667,37,33,7,0.1891891891891892,0
Dick Shiner,ShinDi00,6.875,15.25,107.875,0.875,0.875,0.0,0.0,0.0,0.0,0.45081967213114754,7.073770491803279,0.05737704918032787,0.05737704918032787,30,24,6,0.2,0
Dieter Brock,BrocDi00,10.625,17.75,137.75,0.625,0.875,2.625,0.0,0.75,0.75,0.5985915492957746,7.76056338028169,0.035211267605633804,0.04929577464788732,16,16,12,0.75,0
Don Heinrich,HeinDo00,4.25,10.375,70.125,0.375,0.375,0.0,0.0,0.375,0.375,0.40963855421686746,6.759036144578313,0.03614457831325301,0.03614457831325301,14,11,6,0.42857142857142855,0
Don Horn,HornDo00,7.625,14.75,121.875,0.5,0.875,0.0,0.0,0.25,0.125,0.5169491525423728,8.26271186440678,0.03389830508474576,0.059322033898305086,19,13,7,0.3684210526315789,0
Don Majkowski,MajkDo00,6.625,15.0,107.5,0.625,0.375,1.25,0.0,0.25,0.25,0.44166666666666665,7.166666666666667,0.041666666666666664,0.025,64,55,26,0.40625,0
Don Meredith,MereDo00,7.25,15.875,84.125,0.625,1.125,0.0,0.0,0.25,0.25,0.4566929133858268,5.299212598425197,0.03937007874015748,0.07086614173228346,96,83,48,0.5,1
Don Strock,StroDo00,7.875,14.75,100.75,1.125,0.625,0.0,0.0,0.375,0.375,0.5338983050847458,6.830508474576271,0.07627118644067797,0.0423728813559322,31,18,16,0.5161290322580645,0
Don Trull,TrulDo00,4.5,12.0,69.375,0.625,0.5,0.0,0.0,0.125,0.0,0.375,5.78125,0.052083333333333336,0.041666666666666664,23,13,6,0.2608695652173913,0
Donovan McNabb,McNaDo00,7.625,15.875,65.625,0.375,0.375,2.125,0.0,0.125,0.125,0.48031496062992124,4.133858267716535,0.023622047244094488,0.023622047244094488,178,175,106,0.5955056179775281,1
Doug Flutie,FlutDo00,9.375,15.75,117.625,0.5,0.75,1.375,0.0,0.625,0.375,0.5952380952380952,7.468253968253968,0.031746031746031744,0.047619047619047616,76,67,40,0.5263157894736842,1
Doug Johnson,JohnDo00,11.5,20.375,143.75,0.875,1.0,1.75,0.0,0.25,0.25,0.5644171779141104,7.0552147239263805,0.04294478527607362,0.049079754601226995,12,10,2,0.16666666666666666,0
Doug Pederson,PedeDo00,8.125,16.375,81.375,0.625,0.75,1.375,0.0,0.125,0.125,0.4961832061068702,4.969465648854962,0.03816793893129771,0.04580152671755725,20,16,4,0.2,0
Drew Bledsoe,BledDr00,12.125,24.75,125.125,0.625,0.75,1.625,0.0,0.125,0.125,0.4898989898989899,5.055555555555555,0.025252525252525252,0.030303030303030304,200,198,102,0.51,1
Drew Brees,BreeDr00,12.25,20.625,133.0,0.75,0.5,0.875,0.0,0.5,0.5,0.593939393939394,6.448484848484848,0.03636363636363636,0.024242424242424242,268,267,155,0.5783582089552238,1
Drew Stanton,StanDr00,8.875,16.375,97.0,0.375,1.125,1.375,0.5,0.125,0.125,0.5419847328244275,5.923664122137405,0.022900763358778626,0.06870229007633588,23,17,11,0.4782608695652174,0
EJ Manuel,ManuEJ00,13.375,23.625,142.5,0.75,0.5,2.0,0.375,0.25,0.25,0.5661375661375662,6.031746031746032,0.031746031746031744,0.021164021164021163,19,18,6,0.3157894736842105,0
Earl Morrall,MorrEa00,8.375,15.75,135.5,0.75,0.875,0.0,0.0,0.25,0.25,0.5317460317460317,8.603174603174603,0.047619047619047616,0.05555555555555555,118,99,66,0.559322033898305,1
Eddie LeBaron,LeBaEd00,7.25,14.625,105.125,0.5,1.0,0.0,0.0,0.0,0.0,0.49572649572649574,7.188034188034188,0.03418803418803419,0.06837606837606838,71,56,22,0.30985915492957744,0
Eli Manning,MannEl00,9.25,20.125,104.125,0.375,1.0,1.375,0.0,0.0,0.0,0.45962732919254656,5.173913043478261,0.018633540372670808,0.049689440993788817,233,233,119,0.5107296137339056,1
Elvis Grbac,GrbaEl00,16.875,23.375,195.0,1.125,0.625,0.75,0.0,0.375,0.375,0.7219251336898396,8.342245989304812,0.0481283422459893,0.026737967914438502,79,73,43,0.5443037974683544,1
Eric Hipple,HippEr00,9.0,18.25,181.0,1.125,1.125,1.75,0.0,0.375,0.375,0.4931506849315068,9.917808219178083,0.06164383561643835,0.06164383561643835,60,56,27,0.45,0
Erik Kramer,KramEr00,11.625,22.25,141.625,0.875,1.125,2.125,0.0,0.25,0.125,0.5224719101123596,6.365168539325842,0.03932584269662921,0.05056179775280899,75,68,34,0.4533333333333333,1
Fran Tarkenton+,TarkFr00,8.5,15.25,106.5,0.625,1.0,0.0,0.0,0.125,0.0,0.5573770491803278,6.983606557377049,0.040983606557377046,0.06557377049180328,250,247,131,0.524,1
Frank Reich,ReicFr00,9.125,15.5,112.625,1.0,0.25,0.75,0.0,0.5,0.375,0.5887096774193549,7.266129032258065,0.06451612903225806,0.016129032258064516,34,21,8,0.23529411764705882,0
Frank Ryan,RyanFr00,5.0,11.375,94.125,0.375,0.5,0.0,0.0,0.0,0.0,0.43956043956043955,8.274725274725276,0.03296703296703297,0.04395604395604396,94,83,56,0.5957446808510638,1
