name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent,y
A.J. Feeley,FeelA.00,10.0,17.5,123.375,0.875,0.625,0.75,0.0,0.625,0.5,0.5714285714285714,7.05,0.05,0.03571428571428571,23,18,11,0.4782608695652174,0
Aaron Brooks,BrooAa00,12.125,20.375,163.25,0.875,0.625,1.625,0.0,0.375,0.375,0.5950920245398773,8.012269938650308,0.04294478527607362,0.03067484662576687,92,91,39,0.42391304347826086,1
Aaron Rodgers,RodgAa00,9.0,14.125,100.5,0.625,0.125,1.25,0.375,0.25,0.25,0.6371681415929203,7.115044247787611,0.04424778761061947,0.008849557522123894,167,164,106,0.6347305389221557,1
Adrian Burk,BurkAd00,3.5,9.75,67.75,0.75,0.875,0.0,0.0,0.0,0.0,0.358974358974359,6.948717948717949,0.07692307692307693,0.08974358974358974,51,39,18,0.35294117647058826,0
Akili Smith,SmitAk00,9.125,17.375,90.875,0.25,0.5,1.875,0.0,0.125,0.125,0.5251798561151079,5.23021582733813,0.014388489208633094,0.02877697841726619,16,14,2,0.125,0
Al Dorow,DoroAl00,5.5,11.375,69.5,0.125,1.375,0.0,0.0,0.125,0.125,0.4835164835164835,6.1098901098901095,0.01098901098901099,0.12087912087912088,43,37,19,0.4418604651162791,0
Alex Smith,SmitAl03,6.25,13.625,68.875,0.0,1.25,2.375,0.0,0.0,0.0,0.45871559633027525,5.055045871559633,0.0,0.09174311926605505,166,164,95,0.572289156626506,1
Andrew Luck,LuckAn00,14.75,27.625,186.0,0.875,0.875,1.625,0.375,0.25,0.25,0.5339366515837104,6.733031674208145,0.03167420814479638,0.03167420814479638,84,84,49,0.5833333333333334,1
Andy Dalton,DaltAn00,11.625,19.625,130.875,0.75,0.625,1.25,0.125,0.375,0.375,0.5923566878980892,6.6687898089171975,0.03821656050955414,0.03184713375796178,120,120,68,0.5666666666666667,1
Archie Manning,MannAr00,6.25,13.5,88.25,0.625,0.75,0.0,0.0,0.25,0.25,0.46296296296296297,6.537037037037037,0.046296296296296294,0.05555555555555555,131,125,32,0.24427480916030533,1
Austin Davis,DaviAu00,14.75,23.125,170.625,0.875,0.5,1.875,0.5,0.125,0.125,0.6378378378378379,7.378378378378378,0.03783783783783784,0.021621621621621623,11,10,3,0.2727272727272727,0
Babe Parilli,PariBa00,4.625,9.875,78.375,0.875,0.625,0.0,0.0,0.5,0.25,0.46835443037974683,7.936708860759493,0.08860759493670886,0.06329113924050633,133,99,60,0.45112781954887216,1
Bart Starr+,StarBa00,5.875,11.875,82.25,0.375,0.75,0.0,0.0,0.125,0.125,0.49473684210526314,6.926315789473684,0.031578947368421054,0.06315789473684211,149,145,95,0.6375838926174496,1
Ben Roethlisberger,RoetBe00,9.75,14.125,117.125,0.875,0.5,0.875,0.0,0.5,0.5,0.6902654867256637,8.29203539823009,0.061946902654867256,0.035398230088495575,229,227,154,0.6724890829694323,1
Bernie Kosar,KosaBe00,5.875,11.5,79.0,0.25,0.5,0.375,0.0,0.25,0.125,0.5108695652173914,6.869565217391305,0.021739130434782608,0.043478260869565216,116,112,57,0.49137931034482757,1
Bert Jones,JoneBe00,5.0,11.875,62.875,0.5,1.375,0.0,0.0,0.125,0.125,0.42105263157894735,5.294736842105263,0.042105263157894736,0.11578947368421053,100,96,46,0.46,1
Bill Kenney,KennBi00,7.875,15.0,110.375,0.875,0.375,0.375,0.0,0.5,0.5,0.525,7.358333333333333,0.058333333333333334,0.025,81,76,36,0.4444444444444444,1
Bill Munson,MunsBi00,7.125,15.0,93.375,0.625,1.0,0.0,0.0,0.25,0.25,0.475,6.225,0.041666666666666664,0.06666666666666667,79,66,28,0.35443037974683544,0
Bill Nelsen,NelsBi00,6.0,13.5,99.75,0.25,1.125,0.0,0.0,0.0,0.0,0.4444444444444444,7.388888888888889,0.018518518518518517,0.08333333333333333,80,77,41,0.5125,1
Bill Troup,TrouBi00,7.25,14.5,95.375,0.625,1.375,0.0,0.0,0.25,0.25,0.5,6.577586206896552,0.04310344827586207,0.09482758620689655,12,11,3,0.25,0
Billy Kilmer,KilmBi00,7.25,15.0,95.375,0.375,0.75,0.0,0.0,0.0,0.0,0.48333333333333334,6.358333333333333,0.025,0.05,125,115,64,0.512,1
Billy Volek,VoleBi00,14.0,22.75,136.375,0.875,0.5,1.375,0.0,0.375,0.25,0.6153846153846154,5.9945054945054945,0.038461538461538464,0.02197802197802198,15,10,5,0.3333333333333333,0
Billy Wade,WadeBi00,6.5,12.75,81.5,0.375,0.375,0.0,0.0,0.25,0.0,0.5098039215686274,6.392156862745098,0.029411764705882353,0.029411764705882353,95,80,44,0.4631578947368421,1
Bob Avellini,AvelBo00,7.875,14.875,116.25,0.75,1.25,0.0,0.0,0.25,0.25,0.5294117647058824,7.815126050420168,0.05042016806722689,0.08403361344537816,47,44,19,0.40425531914893614,0
Bob Berry,BerrBo00,6.625,13.5,121.25,0.75,1.5,0.0,0.0,0.125,0.125,0.49074074074074076,8.981481481481481,0.05555555555555555,0.1111111111111111,53,49,20,0.37735849056603776,0
Bob Celeri,CeleBo00,7.625,18.25,124.375,0.625,0.875,0.0,0.0,0.0,0.0,0.4178082191780822,6.815068493150685,0.03424657534246575,0.04794520547945205,13,10,1,0.07692307692307693,0
Bob Gagliano,GaglBo00,6.625,13.375,101.375,0.125,0.875,1.625,0.0,0.125,0.125,0.4953271028037383,7.579439252336448,0.009345794392523364,0.06542056074766354,21,13,9,0.42857142857142855,0
Bob Griese+,GrieBo00,8.625,17.25,93.375,0.625,0.875,0.0,0.0,0.125,0.0,0.5,5.413043478260869,0.036231884057971016,0.050724637681159424,159,152,96,0.6037735849056604,1
Bobby Douglass,DougBo00,6.125,12.375,70.125,0.375,0.75,0.0,0.0,0.125,0.125,0.494949494949495,5.666666666666667,0.030303030303030304,0.06060606060606061,54,43,11,0.2037037037037037,0
Bobby Hebert,HebeBo00,10.0,18.125,127.5,0.5,0.375,2.0,0.0,0.25,0.25,0.5517241379310345,7.0344827586206895,0.027586206896551724,0.020689655172413793,111,101,59,0.5315315315315315,1
Bobby Hoying,HoyiBo00,11.375,20.0,142.25,1.0,0.5,2.625,0.0,0.25,0.25,0.56875,7.1125,0.05,0.025,16,13,3,0.1875,0
Bobby Layne+,LaynBo00,7.25,17.0,104.75,0.75,0.875,0.0,0.0,0.375,0.375,0.4264705882352941,6.161764705882353,0.04411764705882353,0.051470588235294115,135,126,83,0.6148148148148148,1
Bobby Scott,ScotBo00,4.0,11.25,53.875,0.375,0.5,0.0,0.0,0.25,0.125,0.35555555555555557,4.788888888888889,0.03333333333333333,0.044444444444444446,22,12,6,0.2727272727272727,0
Boomer Esiason,EsiaBo00,8.875,15.75,105.75,0.875,0.5,0.875,0.0,0.25,0.125,0.5634920634920635,6.714285714285714,0.05555555555555555,0.031746031746031744,179,173,84,0.4692737430167598,1
Brad Johnson,JohnBr00,8.0,13.25,87.75,0.375,0.375,0.5,0.0,0.375,0.125,0.6037735849056604,6.622641509433962,0.02830188679245283,0.02830188679245283,139,130,79,0.5683453237410072,1
Brady Quinn,QuinBr00,10.5,19.375,110.5,0.375,0.5,1.25,0.25,0.125,0.125,0.5419354838709678,5.703225806451613,0.01935483870967742,0.025806451612903226,19,18,4,0.21052631578947367,0
Brandon Weeden,WeedBr00,14.0,25.25,161.0,0.625,1.125,1.125,0.25,0.0,0.0,0.5544554455445545,6.376237623762377,0.024752475247524754,0.04455445544554455,28,25,8,0.2857142857142857,0
Brett Favre+,FavrBr00,12.125,18.5,133.875,0.625,0.25,1.875,0.0,0.25,0.125,0.6554054054054054,7.236486486486487,0.033783783783783786,0.013513513513513514,321,319,199,0.6199376947040498,1
Brian Griese,GrieBr00,10.125,18.125,119.375,0.625,0.75,1.125,0.0,0.125,0.125,0.5586206896551724,6.586206896551724,0.034482758620689655,0.041379310344827586,86,82,46,0.5348837209302325,1
Brian Hoyer,HoyeBr00,6.75,11.125,71.875,0.25,0.25,0.625,0.125,0.25,0.0,0.6067415730337079,6.46067415730337,0.02247191011235955,0.02247191011235955,45,37,17,0.37777777777777777,0
Brian Sipe,SipeBr00,6.5,11.875,69.0,0.125,0.875,0.0,0.0,0.25,0.25,0.5473684210526316,5.810526315789474,0.010526315789473684,0.07368421052631578,113,109,57,0.504424778761062,1
Browning Nagle,NaglBr00,9.375,19.25,122.5,0.5,0.5,0.875,0.0,0.125,0.125,0.487012987012987,6.363636363636363,0.025974025974025976,0.025974025974025976,15,14,4,0.26666666666666666,0
Bruce Gradkowski,GradBr00,12.0,22.5,104.625,0.75,0.125,1.5,0.0,0.25,0.25,0.5333333333333333,4.65,0.03333333333333333,0.005555555555555556,25,19,9,0.36,0
Bubby Brister,BrisBu00,7.625,18.125,124.75,0.375,0.5,1.5,0.0,0.125,0.125,0.4206896551724138,6.882758620689655,0.020689655172413793,0.027586206896551724,83,75,41,0.4939759036144578,1
Butch Songin,SongBu00,6.5,14.625,92.625,0.625,1.125,0.0,0.0,0.125,0.125,0.4444444444444444,6.333333333333333,0.042735042735042736,0.07692307692307693,28,20,12,0.42857142857142855,0
Byron Leftwich,LeftBy00,12.125,20.875,148.625,0.625,1.125,1.625,0.0,0.125,0.125,0.5808383233532934,7.119760479041916,0.029940119760479042,0.05389221556886228,52,50,25,0.4807692307692308,0
Cade McNown,McNoCa00,10.625,18.25,125.875,1.0,1.0,1.375,0.0,0.25,0.125,0.5821917808219178,6.897260273972603,0.0547945205479452,0.0547945205479452,16,13,4,0.25,0
Cam Newton,NewtCa00,14.125,24.25,201.25,0.875,0.75,1.125,0.25,0.125,0.125,0.5824742268041238,8.29896907216495,0.03608247422680412,0.030927835051546393,124,123,71,0.5725806451612904,1
Carson Palmer,PalmCa00,13.0,23.75,127.875,0.5,1.0,1.75,0.0,0.125,0.125,0.5473684210526316,5.38421052631579,0.021052631578947368,0.042105263157894736,183,182,93,0.5081967213114754,1
Chad Henne,ch1,8.625,14.375,90.75,0.375,0.375,1.125,0.25,0.25,0.25,0.6,6.3130434782608695,0.02608695652173913,0.02608695652173913,58,51,19,0.3275862068965517,0
Chad Hutchinson,HutcCh00,9.125,16.875,116.25,0.625,0.25,2.375,0.0,0.25,0.25,0.5407407407407407,6.888888888888889,0.037037037037037035,0.014814814814814815,14,14,3,0.21428571428571427,0
Chad Pennington,CP01,11.875,16.5,136.625,0.75,0.375,1.0,0.0,0.125,0.125,0.7196969696969697,8.280303030303031,0.045454545454545456,0.022727272727272728,90,86,45,0.5,1
Charlie Batch,BatcCh00,10.75,18.75,124.0,0.625,0.375,2.125,0.0,0.25,0.25,0.5733333333333334,6.613333333333333,0.03333333333333333,0.02,57,53,26,0.45614035087719296,0
Charlie Conerly,ConeCh00,3.375,9.0,50.875,0.375,0.25,0.0,0.0,0.5,0.25,0.375,5.652777777777778,0.041666666666666664,0.027777777777777776,107,77,66,0.616822429906542,1
Charlie Frye,FryeCh00,9.5,15.75,100.375,0.375,0.375,2.125,0.0,0.25,0.125,0.6031746031746031,6.373015873015873,0.023809523809523808,0.023809523809523808,23,22,8,0.34782608695652173,0
Chris Chandler,ChanCh00,7.5,13.125,90.25,0.25,0.875,1.0,0.0,0.375,0.375,0.5714285714285714,6.876190476190477,0.01904761904761905,0.06666666666666667,155,142,69,0.44516129032258067,1
Chris Miller,MillCh00,9.75,19.625,117.0,0.5,1.375,1.25,0.0,0.0,0.0,0.4968152866242038,5.961783439490445,0.025477707006369428,0.07006369426751592,97,93,35,0.36082474226804123,1
Chris Redman,RedmCh00,10.375,19.25,110.25,0.625,0.375,1.125,0.0,0.25,0.25,0.538961038961039,5.7272727272727275,0.032467532467532464,0.01948051948051948,16,12,6,0.375,0
Chris Simms,SimmCh00,12.25,21.125,150.125,0.75,0.875,2.375,0.0,0.125,0.125,0.5798816568047337,7.106508875739645,0.03550295857988166,0.04142011834319527,17,15,6,0.35294117647058826,0
Chris Weinke,WeinCh00,13.5,22.375,141.25,0.625,0.75,1.0,0.0,0.125,0.125,0.6033519553072626,6.312849162011173,0.027932960893854747,0.0335195530726257,19,18,1,0.05263157894736842,0
Christian Ponder,PondCh00,9.375,18.0,119.375,0.625,0.75,1.75,0.375,0.125,0.125,0.5208333333333334,6.631944444444445,0.034722222222222224,0.041666666666666664,35,34,13,0.37142857142857144,0
Chuck Long,LongCh00,12.25,19.875,128.125,0.75,0.75,1.75,0.0,0.0,0.0,0.6163522012578616,6.446540880503145,0.03773584905660377,0.03773584905660377,20,20,4,0.2,0
Cliff Stoudt,StouCl00,7.875,14.875,109.375,0.125,1.0,0.625,0.0,0.125,0.125,0.5294117647058824,7.352941176470588,0.008403361344537815,0.06722689075630252,26,21,11,0.4230769230769231,0
Cody Carlson,CarlCo00,6.625,14.375,94.875,0.5,0.75,1.375,0.0,0.25,0.25,0.4608695652173913,6.6,0.034782608695652174,0.05217391304347826,24,17,10,0.4166666666666667,0
Colin Kaepernick,KaepCo00,10.25,15.0,123.0,0.375,0.125,1.375,0.5,0.375,0.375,0.6833333333333333,8.2,0.025,0.008333333333333333,64,63,32,0.5,1
Colt McCoy,McCoCo00,10.125,15.875,121.875,0.375,0.375,1.875,0.0,0.25,0.25,0.6377952755905512,7.677165354330708,0.023622047244094488,0.023622047244094488,27,24,9,0.3333333333333333,0
Cotton Davidson,DaviCo00,6.625,13.5,74.375,0.5,0.5,0.0,0.0,0.25,0.125,0.49074074074074076,5.5092592592592595,0.037037037037037035,0.037037037037037035,67,52,26,0.3880597014925373,0
Craig Erickson,EricCr00,7.875,16.125,100.875,0.5,0.875,1.375,0.0,0.125,0.125,0.4883720930232558,6.255813953488372,0.031007751937984496,0.05426356589147287,38,35,14,0.3684210526315789,0
Craig Morton,MortCr00,6.75,13.125,94.5,1.0,1.125,0.0,0.0,0.25,0.25,0.5142857142857142,7.2,0.0761904761904762,0.08571428571428572,162,145,90,0.5555555555555556,1
Craig Whelihan,WhelCr00,8.25,17.5,100.125,0.625,0.75,1.5,0.0,0.0,0.0,0.4714285714285714,5.7214285714285715,0.03571428571428571,0.04285714285714286,17,14,2,0.11764705882352941,0
Damon Huard,HuarDa00,9.875,18.125,109.75,0.5,0.375,2.75,0.0,0.5,0.375,0.5448275862068965,6.055172413793104,0.027586206896551724,0.020689655172413793,34,26,16,0.47058823529411764,0
Dan Darragh,DarrDa00,5.875,14.5,70.625,0.25,0.75,0.0,0.0,0.125,0.125,0.4051724137931034,4.870689655172414,0.017241379310344827,0.05172413793103448,14,10,1,0.07142857142857142,0
Dan Fouts+,FoutDa00,6.875,16.5,89.875,0.5,1.25,0.0,0.0,0.0,0.0,0.4166666666666667,5.446969696969697,0.030303030303030304,0.07575757575757576,178,174,89,0.5,1
Dan Marino+,MariDa00,8.75,14.5,118.0,1.375,0.375,0.875,0.0,0.25,0.25,0.603448275862069,8.137931034482758,0.09482758620689655,0.02586206896551724,258,256,154,0.5968992248062015,1
Dan Orlovsky,OrloDa00,7.875,14.375,97.25,0.375,0.125,1.375,0.25,0.0,0.0,0.5478260869565217,6.765217391304348,0.02608695652173913,0.008695652173913044,15,12,2,0.13333333333333333,0
Dan Pastorini,PastDa00,8.25,18.25,112.75,0.375,1.75,0.0,0.0,0.125,0.125,0.4520547945205479,6.178082191780822,0.02054794520547945,0.0958904109589041,127,117,57,0.44881889763779526,1
Danny Kanell,KaneDa00,5.75,13.125,65.75,0.25,0.25,1.0,0.0,0.375,0.125,0.4380952380952381,5.0095238095238095,0.01904761904761905,0.01904761904761905,35,25,12,0.34285714285714286,0
Danny White,dw1,7.25,13.0,90.5,0.375,0.625,0.0,0.0,0.25,0.25,0.5576923076923077,6.961538461538462,0.028846153846153848,0.04807692307692308,106,99,68,0.6415094339622641,1
Daryle Lamonica,LamoDa00,4.25,9.0,67.25,0.5,0.5,0.0,0.0,0.375,0.125,0.4722222222222222,7.472222222222222,0.05555555555555555,0.05555555555555555,107,91,72,0.6728971962616822,1
Daunte Culpepper,CulpDa00,10.875,17.0,152.75,1.0,0.75,2.0,0.0,0.625,0.625,0.6397058823529411,8.985294117647058,0.058823529411764705,0.04411764705882353,104,101,44,0.4230769230769231,1
Dave Brown,BrowDa00,9.25,15.875,114.625,0.75,0.875,1.5,0.0,0.375,0.375,0.5826771653543307,7.2204724409448815,0.047244094488188976,0.05511811023622047,59,57,23,0.3898305084745763,0
Dave Krieg,KrieDa00,9.875,17.0,121.375,0.875,0.625,1.875,0.0,0.25,0.25,0.5808823529411765,7.139705882352941,0.051470588235294115,0.03676470588235294,192,181,103,0.5364583333333334,1
David Archer,ArchDa00,8.125,13.25,105.125,0.375,0.625,1.625,0.0,0.25,0.125,0.6132075471698113,7.933962264150943,0.02830188679245283,0.04716981132075472,27,23,10,0.37037037037037035,0
