name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent,y
A.J. Feeley,FeelA.00,7.625,13.375,91.75,0.75,0.375,0.625,0.0,0.5,0.375,0.5700934579439252,6.859813084112149,0.056074766355140186,0.028037383177570093,23,18,11,0.4782608695652174,0
Aaron Brooks,BrooAa00,9.125,16.0,127.625,0.875,0.625,1.5,0.0,0.25,0.25,0.5703125,7.9765625,0.0546875,0.0390625,92,91,39,0.42391304347826086,1
Aaron Rodgers,RodgAa00,6.0,9.375,59.5,0.25,0.125,1.125,0.125,0.125,0.125,0.64,6.346666666666667,0.02666666666666667,0.013333333333333334,167,164,106,0.6347305389221557,1
Adrian Burk,BurkAd00,2.625,8.25,57.375,0.625,0.875,0.0,0.0,0.0,0.0,0.3181818181818182,6.954545454545454,0.07575757575757576,0.10606060606060606,51,39,18,0.35294117647058826,0
Akili Smith,SmitAk00,7.625,14.375,75.625,0.25,0.5,1.25,0.0,0.125,0.125,0.5304347826086957,5.260869565217392,0.017391304347826087,0.034782608695652174,16,14,2,0.125,0
Al Dorow,DoroAl00,4.625,9.375,58.125,0.125,1.25,0.0,0.0,0.125,0.125,0.49333333333333335,6.2,0.013333333333333334,0.13333333333333333,43,37,19,0.4418604651162791,0
Alex Smith,SmitAl03,5.25,10.625,53.5,0.0,1.125,2.125,0.0,0.0,0.0,0.49411764705882355,5.035294117647059,0.0,0.10588235294117647,166,164,95,0.572289156626506,1
Andrew Luck,LuckAn00,12.0,22.125,151.0,0.875,0.625,1.125,0.25,0.25,0.25,0.5423728813559322,6.824858757062147,0.03954802259887006,0.02824858757062147,84,84,49,0.5833333333333334,1
Andy Dalton,DaltAn00,9.0,15.5,108.5,0.5,0.5,1.0,0.125,0.25,0.25,0.5806451612903226,7.0,0.03225806451612903,0.03225806451612903,120,120,68,0.5666666666666667,1
Archie Manning,MannAr00,4.75,9.75,71.0,0.625,0.5,0.0,0.0,0.25,0.25,0.48717948717948717,7.282051282051282,0.0641025641025641,0.05128205128205128,131,125,32,0.24427480916030533,1
Austin Davis,DaviAu00,12.125,17.875,141.125,0.75,0.375,1.25,0.375,0.125,0.125,0.6783216783216783,7.895104895104895,0.04195804195804196,0.02097902097902098,11,10,3,0.2727272727272727,0
Babe Parilli,PariBa00,4.0,8.5,73.875,0.75,0.625,0.0,0.0,0.375,0.125,0.47058823529411764,8.691176470588236,0.08823529411764706,0.07352941176470588,133,99,60,0.45112781954887216,1
Bart Starr+,StarBa00,4.5,8.5,59.125,0.25,0.625,0.0,0.0,0.125,0.125,0.5294117647058824,6.955882352941177,0.029411764705882353,0.07352941176470588,149,145,95,0.6375838926174496,1
