name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,game_count,start_count,win_count,win_percent,y
A.J. Feeley,FeelA.00,5.625,9.875,64.25,0.5,0.25,0.375,0.0,0.375,0.25,0.569620253164557,6.506329113924051,0.05063291139240506,0.02531645569620253,23,18,11,0.4782608695652174,0
Aaron Brooks,BrooAa00,7.625,12.375,102.25,0.625,0.625,0.875,0.0,0.125,0.125,0.6161616161616161,8.262626262626263,0.050505050505050504,0.050505050505050504,92,91,39,0.42391304347826086,1
Aaron Rodgers,RodgAa00,3.75,6.625,37.25,0.125,0.125,1.125,0.0,0.0,0.0,0.5660377358490566,5.622641509433962,0.018867924528301886,0.018867924528301886,167,164,106,0.6347305389221557,1
Adrian Burk,BurkAd00,2.125,6.625,53.5,0.625,0.75,0.0,0.0,0.0,0.0,0.32075471698113206,8.075471698113208,0.09433962264150944,0.11320754716981132,51,39,18,0.35294117647058826,0
Akili Smith,SmitAk00,5.25,9.625,49.75,0.25,0.25,0.75,0.0,0.125,0.125,0.5454545454545454,5.1688311688311686,0.025974025974025976,0.025974025974025976,16,14,2,0.125,0
Al Dorow,DoroAl00,4.25,7.625,54.0,0.125,0.875,0.0,0.0,0.125,0.125,0.5573770491803278,7.081967213114754,0.01639344262295082,0.11475409836065574,43,37,19,0.4418604651162791,0
Alex Smith,SmitAl03,4.125,7.875,43.875,0.0,1.0,1.625,0.0,0.0,0.0,0.5238095238095238,5.571428571428571,0.0,0.12698412698412698,166,164,95,0.572289156626506,1
Andrew Luck,LuckAn00,8.125,15.25,105.75,0.625,0.5,0.625,0.125,0.125,0.125,0.5327868852459017,6.934426229508197,0.040983606557377046,0.03278688524590164,84,84,49,0.5833333333333334,1
Andy Dalton,DaltAn00,6.75,11.0,71.25,0.375,0.25,0.75,0.125,0.125,0.125,0.6136363636363636,6.4772727272727275,0.03409090909090909,0.022727272727272728,120,120,68,0.5666666666666667,1
Archie Manning,MannAr00,4.0,7.875,60.625,0.5,0.375,0.0,0.0,0.125,0.125,0.5079365079365079,7.698412698412699,0.06349206349206349,0.047619047619047616,131,125,32,0.24427480916030533,1
Austin Davis,DaviAu00,8.5,11.75,94.25,0.375,0.375,0.75,0.125,0.125,0.125,0.723404255319149,8.02127659574468,0.031914893617021274,0.031914893617021274,11,10,3,0.2727272727272727,0
Babe Parilli,PariBa00,3.125,6.875,62.5,0.5,0.5,0.0,0.0,0.25,0.125,0.45454545454545453,9.090909090909092,0.07272727272727272,0.07272727272727272,133,99,60,0.45112781954887216,1
Bart Starr+,StarBa00,3.375,6.625,38.125,0.25,0.625,0.0,0.0,0.0,0.0,0.5094339622641509,5.754716981132075,0.03773584905660377,0.09433962264150944,149,145,95,0.6375838926174496,1
Ben Roethlisberger,RoetBe00,5.125,8.375,64.125,0.5,0.375,0.5,0.0,0.25,0.25,0.6119402985074627,7.656716417910448,0.05970149253731343,0.04477611940298507,229,227,154,0.6724890829694323,1
Bernie Kosar,KosaBe00,3.375,7.0,56.5,0.25,0.25,0.25,0.0,0.25,0.125,0.48214285714285715,8.071428571428571,0.03571428571428571,0.03571428571428571,116,112,57,0.49137931034482757,1
Bert Jones,JoneBe00,3.125,7.625,40.375,0.375,1.125,0.0,0.0,0.125,0.125,0.4098360655737705,5.295081967213115,0.04918032786885246,0.14754098360655737,100,96,46,0.46,1
Bill Kenney,KennBi00,4.625,8.625,67.75,0.625,0.25,0.0,0.0,0.25,0.25,0.5362318840579711,7.855072463768116,0.07246376811594203,0.028985507246376812,81,76,36,0.4444444444444444,1
Bill Munson,MunsBi00,4.375,9.125,56.125,0.5,0.375,0.0,0.0,0.25,0.25,0.4794520547945205,6.1506849315068495,0.0547945205479452,0.0410958904109589,79,66,28,0.35443037974683544,0
Bill Nelsen,NelsBi00,2.625,7.5,45.125,0.25,0.625,0.0,0.0,0.0,0.0,0.35,6.016666666666667,0.03333333333333333,0.08333333333333333,80,77,41,0.5125,1
Bill Troup,TrouBi00,4.375,9.375,67.625,0.375,1.125,0.0,0.0,0.125,0.125,0.4666666666666667,7.213333333333333,0.04,0.12,12,11,3,0.25,0
Billy Kilmer,KilmBi00,5.375,11.25,62.75,0.125,0.625,0.0,0.0,0.0,0.0,0.4777777777777778,5.5777777777777775,0.011111111111111112,0.05555555555555555,125,115,64,0.512,1
Billy Volek,VoleBi00,9.25,14.25,86.375,0.625,0.0,0.875,0.0,0.25,0.125,0.6491228070175439,6.06140350877193,0.043859649122807015,0.0,15,10,5,0.3333333333333333,0
Billy Wade,WadeBi00,4.25,7.75,55.0,0.25,0.25,0.0,0.0,0.125,0.0,0.5483870967741935,7.096774193548387,0.03225806451612903,0.03225806451612903,95,80,44,0.4631578947368421,1
Bob Avellini,AvelBo00,3.625,7.625,50.875,0.125,0.875,0.0,0.0,0.125,0.125,0.47540983606557374,6.672131147540983,0.01639344262295082,0.11475409836065574,47,44,19,0.40425531914893614,0
Bob Berry,BerrBo00,4.25,9.375,78.625,0.625,1.375,0.0,0.0,0.0,0.0,0.4533333333333333,8.386666666666667,0.06666666666666667,0.14666666666666667,53,49,20,0.37735849056603776,0
Bob Celeri,CeleBo00,5.5,12.375,95.75,0.5,0.5,0.0,0.0,0.0,0.0,0.4444444444444444,7.737373737373737,0.04040404040404041,0.04040404040404041,13,10,1,0.07692307692307693,0
Bob Gagliano,GaglBo00,5.0,9.0,76.25,0.125,0.375,1.0,0.0,0.125,0.125,0.5555555555555556,8.472222222222221,0.013888888888888888,0.041666666666666664,21,13,9,0.42857142857142855,0
Bob Griese+,GrieBo00,5.0,7.75,56.75,0.5,0.75,0.0,0.0,0.125,0.0,0.6451612903225806,7.32258064516129,0.06451612903225806,0.0967741935483871,159,152,96,0.6037735849056604,1
Bobby Douglass,DougBo00,3.25,6.625,33.875,0.25,0.375,0.0,0.0,0.125,0.125,0.49056603773584906,5.113207547169812,0.03773584905660377,0.05660377358490566,54,43,11,0.2037037037037037,0
Bobby Hebert,HebeBo00,5.125,9.0,67.625,0.25,0.125,1.125,0.0,0.25,0.25,0.5694444444444444,7.513888888888889,0.027777777777777776,0.013888888888888888,111,101,59,0.5315315315315315,1
Bobby Hoying,HoyiBo00,6.125,10.375,77.0,0.375,0.0,1.875,0.0,0.125,0.125,0.5903614457831325,7.421686746987952,0.03614457831325301,0.0,16,13,3,0.1875,0
Bobby Layne+,LaynBo00,3.75,9.0,53.5,0.25,0.625,0.0,0.0,0.25,0.25,0.4166666666666667,5.944444444444445,0.027777777777777776,0.06944444444444445,135,126,83,0.6148148148148148,1
Bobby Scott,ScotBo00,2.25,6.5,30.625,0.125,0.375,0.0,0.0,0.125,0.0,0.34615384615384615,4.711538461538462,0.019230769230769232,0.057692307692307696,22,12,6,0.2727272727272727,0
Boomer Esiason,EsiaBo00,4.75,8.75,55.125,0.375,0.25,0.375,0.0,0.25,0.125,0.5428571428571428,6.3,0.04285714285714286,0.02857142857142857,179,173,84,0.4692737430167598,1
Brad Johnson,JohnBr00,4.125,7.125,33.75,0.0,0.25,0.25,0.0,0.125,0.0,0.5789473684210527,4.7368421052631575,0.0,0.03508771929824561,139,130,79,0.5683453237410072,1
Brady Quinn,QuinBr00,5.625,11.125,64.75,0.25,0.25,0.125,0.0,0.125,0.125,0.5056179775280899,5.820224719101123,0.02247191011235955,0.02247191011235955,19,18,4,0.21052631578947367,0
Brandon Weeden,WeedBr00,8.125,14.375,84.625,0.375,0.75,1.0,0.25,0.0,0.0,0.5652173913043478,5.886956521739131,0.02608695652173913,0.05217391304347826,28,25,8,0.2857142857142857,0
Brett Favre+,FavrBr00,5.5,9.0,71.5,0.5,0.125,1.375,0.0,0.25,0.125,0.6111111111111112,7.944444444444445,0.05555555555555555,0.013888888888888888,321,319,199,0.6199376947040498,1
Brian Griese,GrieBr00,6.125,10.625,63.625,0.5,0.25,0.75,0.0,0.0,0.0,0.5764705882352941,5.988235294117647,0.047058823529411764,0.023529411764705882,86,82,46,0.5348837209302325,1
Brian Hoyer,HoyeBr00,3.0,4.5,30.625,0.125,0.0,0.125,0.0,0.25,0.0,0.6666666666666666,6.805555555555555,0.027777777777777776,0.0,45,37,17,0.37777777777777777,0
Brian Sipe,SipeBr00,5.125,8.875,58.0,0.125,0.5,0.0,0.0,0.125,0.125,0.5774647887323944,6.535211267605634,0.014084507042253521,0.056338028169014086,113,109,57,0.504424778761062,1
Browning Nagle,NaglBr00,6.125,13.125,85.375,0.25,0.375,0.625,0.0,0.0,0.0,0.4666666666666667,6.504761904761905,0.01904761904761905,0.02857142857142857,15,14,4,0.26666666666666666,0
Bruce Gradkowski,GradBr00,7.25,12.625,64.125,0.5,0.125,0.75,0.0,0.25,0.25,0.5742574257425742,5.079207920792079,0.039603960396039604,0.009900990099009901,25,19,9,0.36,0
Bubby Brister,BrisBu00,4.25,10.875,63.125,0.0,0.25,0.875,0.0,0.125,0.125,0.39080459770114945,5.804597701149425,0.0,0.022988505747126436,83,75,41,0.4939759036144578,1
Butch Songin,SongBu00,3.25,6.625,45.5,0.25,0.375,0.0,0.0,0.125,0.125,0.49056603773584906,6.867924528301887,0.03773584905660377,0.05660377358490566,28,20,12,0.42857142857142855,0
Byron Leftwich,LeftBy00,7.5,13.25,102.875,0.375,0.75,0.875,0.0,0.125,0.125,0.5660377358490566,7.764150943396227,0.02830188679245283,0.05660377358490566,52,50,25,0.4807692307692308,0
Cade McNown,McNoCa00,4.375,8.75,54.25,0.125,0.375,0.875,0.0,0.125,0.0,0.5,6.2,0.014285714285714285,0.04285714285714286,16,13,4,0.25,0
Cam Newton,NewtCa00,8.75,14.625,126.5,0.5,0.5,1.0,0.0,0.125,0.125,0.5982905982905983,8.649572649572649,0.03418803418803419,0.03418803418803419,124,123,71,0.5725806451612904,1
Carson Palmer,PalmCa00,8.0,14.625,88.875,0.25,0.625,1.25,0.0,0.125,0.125,0.5470085470085471,6.076923076923077,0.017094017094017096,0.042735042735042736,183,182,93,0.5081967213114754,1
Chad Henne,ch1,3.875,6.625,34.25,0.125,0.125,0.875,0.25,0.125,0.125,0.5849056603773585,5.169811320754717,0.018867924528301886,0.018867924528301886,58,51,19,0.3275862068965517,0
Chad Hutchinson,HutcCh00,5.625,10.75,60.5,0.125,0.0,1.5,0.0,0.0,0.0,0.5232558139534884,5.627906976744186,0.011627906976744186,0.0,14,14,3,0.21428571428571427,0
Chad Pennington,CP01,6.5,9.625,73.25,0.375,0.25,0.625,0.0,0.0,0.0,0.6753246753246753,7.6103896103896105,0.03896103896103896,0.025974025974025976,90,86,45,0.5,1
Charlie Batch,BatcCh00,6.25,11.75,67.875,0.25,0.25,1.25,0.0,0.125,0.125,0.5319148936170213,5.776595744680851,0.02127659574468085,0.02127659574468085,57,53,26,0.45614035087719296,0
Charlie Conerly,ConeCh00,1.75,5.5,32.375,0.125,0.125,0.0,0.0,0.375,0.25,0.3181818181818182,5.886363636363637,0.022727272727272728,0.022727272727272728,107,77,66,0.616822429906542,1
Charlie Frye,FryeCh00,4.375,6.875,52.75,0.375,0.25,0.875,0.0,0.125,0.0,0.6363636363636364,7.672727272727273,0.05454545454545454,0.03636363636363636,23,22,8,0.34782608695652173,0
Chris Chandler,ChanCh00,3.875,6.875,44.125,0.125,0.25,1.0,0.0,0.125,0.125,0.5636363636363636,6.418181818181818,0.01818181818181818,0.03636363636363636,155,142,69,0.44516129032258067,1
Chris Miller,MillCh00,4.875,11.5,69.0,0.125,1.125,0.625,0.0,0.0,0.0,0.42391304347826086,6.0,0.010869565217391304,0.09782608695652174,97,93,35,0.36082474226804123,1
Chris Redman,RedmCh00,6.125,12.0,63.875,0.375,0.25,0.75,0.0,0.125,0.125,0.5104166666666666,5.322916666666667,0.03125,0.020833333333333332,16,12,6,0.375,0
Chris Simms,SimmCh00,7.25,12.25,82.875,0.25,0.625,1.625,0.0,0.0,0.0,0.5918367346938775,6.76530612244898,0.02040816326530612,0.05102040816326531,17,15,6,0.35294117647058826,0
Chris Weinke,WeinCh00,7.25,11.625,82.375,0.25,0.25,0.75,0.0,0.125,0.125,0.6236559139784946,7.086021505376344,0.021505376344086023,0.021505376344086023,19,18,1,0.05263157894736842,0
Christian Ponder,PondCh00,5.0,9.625,69.25,0.375,0.25,0.75,0.125,0.125,0.125,0.5194805194805194,7.194805194805195,0.03896103896103896,0.025974025974025976,35,34,13,0.37142857142857144,0
Chuck Long,LongCh00,5.5,9.625,51.0,0.25,0.5,1.125,0.0,0.0,0.0,0.5714285714285714,5.298701298701299,0.025974025974025976,0.05194805194805195,20,20,4,0.2,0
Cliff Stoudt,StouCl00,4.125,8.5,58.5,0.125,0.625,0.0,0.0,0.0,0.0,0.4852941176470588,6.882352941176471,0.014705882352941176,0.07352941176470588,26,21,11,0.4230769230769231,0
Cody Carlson,CarlCo00,4.75,9.5,68.75,0.5,0.625,1.0,0.0,0.25,0.25,0.5,7.2368421052631575,0.05263157894736842,0.06578947368421052,24,17,10,0.4166666666666667,0
Colin Kaepernick,KaepCo00,5.375,8.125,73.875,0.375,0.125,0.5,0.25,0.25,0.25,0.6615384615384615,9.092307692307692,0.046153846153846156,0.015384615384615385,64,63,32,0.5,1
Colt McCoy,McCoCo00,5.75,8.5,66.125,0.125,0.25,0.75,0.0,0.25,0.25,0.6764705882352942,7.779411764705882,0.014705882352941176,0.029411764705882353,27,24,9,0.3333333333333333,0
Cotton Davidson,DaviCo00,2.125,5.375,21.125,0.0,0.375,0.0,0.0,0.125,0.0,0.3953488372093023,3.9302325581395348,0.0,0.06976744186046512,67,52,26,0.3880597014925373,0
Craig Erickson,EricCr00,4.625,9.375,59.375,0.25,0.375,0.625,0.0,0.0,0.0,0.49333333333333335,6.333333333333333,0.02666666666666667,0.04,38,35,14,0.3684210526315789,0
Craig Morton,MortCr00,3.5,7.5,37.625,0.375,0.625,0.0,0.0,0.125,0.125,0.4666666666666667,5.016666666666667,0.05,0.08333333333333333,162,145,90,0.5555555555555556,1
Craig Whelihan,WhelCr00,4.875,8.875,62.25,0.375,0.125,1.375,0.0,0.0,0.0,0.5492957746478874,7.014084507042254,0.04225352112676056,0.014084507042253521,17,14,2,0.11764705882352941,0
Damon Huard,HuarDa00,6.875,11.875,75.375,0.25,0.25,1.875,0.0,0.375,0.25,0.5789473684210527,6.347368421052631,0.021052631578947368,0.021052631578947368,34,26,16,0.47058823529411764,0
Dan Darragh,DarrDa00,3.875,9.75,43.75,0.125,0.375,0.0,0.0,0.0,0.0,0.3974358974358974,4.487179487179487,0.01282051282051282,0.038461538461538464,14,10,1,0.07142857142857142,0
Dan Fouts+,FoutDa00,4.5,10.875,57.0,0.375,0.75,0.0,0.0,0.0,0.0,0.41379310344827586,5.241379310344827,0.034482758620689655,0.06896551724137931,178,174,89,0.5,1
Dan Marino+,MariDa00,5.25,8.5,70.25,0.75,0.375,0.5,0.0,0.0,0.0,0.6176470588235294,8.264705882352942,0.08823529411764706,0.04411764705882353,258,256,154,0.5968992248062015,1
Dan Orlovsky,OrloDa00,3.75,6.875,36.25,0.125,0.125,1.0,0.125,0.0,0.0,0.5454545454545454,5.2727272727272725,0.01818181818181818,0.01818181818181818,15,12,2,0.13333333333333333,0
Dan Pastorini,PastDa00,5.25,11.875,69.5,0.25,0.875,0.0,0.0,0.0,0.0,0.4421052631578947,5.852631578947369,0.021052631578947368,0.07368421052631578,127,117,57,0.44881889763779526,1
Danny Kanell,KaneDa00,2.875,7.5,28.375,0.125,0.125,0.875,0.0,0.125,0.0,0.38333333333333336,3.783333333333333,0.016666666666666666,0.016666666666666666,35,25,12,0.34285714285714286,0
Danny White,dw1,3.5,6.5,40.625,0.125,0.25,0.0,0.0,0.125,0.125,0.5384615384615384,6.25,0.019230769230769232,0.038461538461538464,106,99,68,0.6415094339622641,1
Daryle Lamonica,LamoDa00,2.5,5.625,37.0,0.25,0.375,0.0,0.0,0.125,0.0,0.4444444444444444,6.5777777777777775,0.044444444444444446,0.06666666666666667,107,91,72,0.6728971962616822,1
Daunte Culpepper,CulpDa00,6.875,11.0,90.25,0.375,0.625,1.0,0.0,0.375,0.375,0.625,8.204545454545455,0.03409090909090909,0.056818181818181816,104,101,44,0.4230769230769231,1
Dave Brown,BrowDa00,4.375,7.0,63.875,0.5,0.25,0.125,0.0,0.375,0.375,0.625,9.125,0.07142857142857142,0.03571428571428571,59,57,23,0.3898305084745763,0
Dave Krieg,KrieDa00,5.375,9.625,70.25,0.5,0.375,0.5,0.0,0.125,0.125,0.5584415584415584,7.298701298701299,0.05194805194805195,0.03896103896103896,192,181,103,0.5364583333333334,1
David Archer,ArchDa00,3.875,6.125,47.75,0.125,0.125,1.25,0.0,0.125,0.0,0.6326530612244898,7.795918367346939,0.02040816326530612,0.02040816326530612,27,23,10,0.37037037037037035,0
David Carr,CarrDa00,3.5,8.625,41.375,0.25,0.5,2.375,0.0,0.125,0.125,0.4057971014492754,4.797101449275362,0.028985507246376812,0.057971014492753624,79,75,22,0.27848101265822783,0
David Garrard,GarrDa00,3.5,6.375,33.0,0.25,0.0,0.5,0.0,0.0,0.0,0.5490196078431373,5.176470588235294,0.0392156862745098,0.0,81,78,41,0.5061728395061729,1
David Klingler,KlinDa00,5.125,10.625,58.625,0.375,0.25,2.25,0.0,0.0,0.0,0.4823529411764706,5.517647058823529,0.03529411764705882,0.023529411764705882,26,23,4,0.15384615384615385,0
DeShone Kizer,KizeDe00,7.125,13.5,80.75,0.375,0.875,1.25,0.25,0.0,0.0,0.5277777777777778,5.981481481481482,0.027777777777777776,0.06481481481481481,15,15,0,0.0,0
Dennis Shaw,ShawDe00,4.625,8.125,82.875,0.25,0.625,0.0,0.0,0.125,0.125,0.5692307692307692,10.2,0.03076923076923077,0.07692307692307693,37,33,7,0.1891891891891892,0
Dick Shiner,ShinDi00,3.5,7.5,58.75,0.375,0.375,0.0,0.0,0.0,0.0,0.4666666666666667,7.833333333333333,0.05,0.05,30,24,6,0.2,0
Dieter Brock,BrocDi00,4.875,9.875,68.5,0.25,0.75,1.0,0.0,0.375,0.375,0.4936708860759494,6.936708860759493,0.02531645569620253,0.0759493670886076,16,16,12,0.75,0
Don Heinrich,HeinDo00,2.0,4.5,27.75,0.0,0.125,0.0,0.0,0.25,0.25,0.4444444444444444,6.166666666666667,0.0,0.027777777777777776,14,11,6,0.42857142857142855,0
Don Horn,HornDo00,3.25,6.0,57.375,0.375,0.125,0.0,0.0,0.125,0.0,0.5416666666666666,9.5625,0.0625,0.020833333333333332,19,13,7,0.3684210526315789,0
Don Majkowski,MajkDo00,4.125,8.0,60.875,0.25,0.125,1.125,0.0,0.125,0.125,0.515625,7.609375,0.03125,0.015625,64,55,26,0.40625,0
Don Meredith,MereDo00,3.125,7.0,27.625,0.25,0.5,0.0,0.0,0.0,0.0,0.44642857142857145,3.9464285714285716,0.03571428571428571,0.07142857142857142,96,83,48,0.5,1
Don Strock,StroDo00,3.875,7.0,51.875,0.5,0.25,0.0,0.0,0.25,0.25,0.5535714285714286,7.410714285714286,0.07142857142857142,0.03571428571428571,31,18,16,0.5161290322580645,0
Don Trull,TrulDo00,2.625,6.5,36.375,0.125,0.125,0.0,0.0,0.0,0.0,0.40384615384615385,5.596153846153846,0.019230769230769232,0.019230769230769232,23,13,6,0.2608695652173913,0
Donovan McNabb,McNaDo00,2.25,5.25,16.0,0.0,0.125,1.0,0.0,0.0,0.0,0.42857142857142855,3.0476190476190474,0.0,0.023809523809523808,178,175,106,0.5955056179775281,1
Doug Flutie,FlutDo00,4.5,7.875,60.125,0.375,0.25,0.875,0.0,0.375,0.25,0.5714285714285714,7.634920634920635,0.047619047619047616,0.031746031746031744,76,67,40,0.5263157894736842,1
Doug Johnson,JohnDo00,5.125,9.375,58.5,0.25,0.625,1.0,0.0,0.0,0.0,0.5466666666666666,6.24,0.02666666666666667,0.06666666666666667,12,10,2,0.16666666666666666,0
Doug Pederson,PedeDo00,4.25,7.625,36.75,0.5,0.375,0.75,0.0,0.0,0.0,0.5573770491803278,4.819672131147541,0.06557377049180328,0.04918032786885246,20,16,4,0.2,0
Drew Bledsoe,BledDr00,7.75,15.375,78.125,0.5,0.5,0.875,0.0,0.0,0.0,0.5040650406504065,5.08130081300813,0.032520325203252036,0.032520325203252036,200,198,102,0.51,1
Drew Brees,BreeDr00,5.625,9.25,68.0,0.5,0.125,0.625,0.0,0.25,0.25,0.6081081081081081,7.351351351351352,0.05405405405405406,0.013513513513513514,268,267,155,0.5783582089552238,1
Drew Stanton,StanDr00,3.25,6.375,32.375,0.0,0.75,0.625,0.125,0.0,0.0,0.5098039215686274,5.078431372549019,0.0,0.11764705882352941,23,17,11,0.4782608695652174,0
EJ Manuel,ManuEJ00,8.0,13.5,86.125,0.5,0.125,1.125,0.125,0.125,0.125,0.5925925925925926,6.37962962962963,0.037037037037037035,0.009259259259259259,19,18,6,0.3157894736842105,0
Earl Morrall,MorrEa00,3.625,6.5,61.875,0.125,0.5,0.0,0.0,0.0,0.0,0.5576923076923077,9.51923076923077,0.019230769230769232,0.07692307692307693,118,99,66,0.559322033898305,1
Eddie LeBaron,LeBaEd00,2.625,5.875,35.75,0.125,0.125,0.0,0.0,0.0,0.0,0.44680851063829785,6.085106382978723,0.02127659574468085,0.02127659574468085,71,56,22,0.30985915492957744,0
