name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,win_count
Brandon Weeden,WeedBr00,20.625,37.375,239.0,1.125,1.25,1.625,0.375,0.25,0.25,0.5518394648829431,6.394648829431438,0.030100334448160536,0.033444816053511704,8
Brett Favre+,FavrBr00,20.75,33.25,222.0,1.0,0.75,2.75,0.0,0.375,0.25,0.6240601503759399,6.676691729323308,0.03007518796992481,0.022556390977443608,199
Brian Griese,GrieBr00,18.625,31.75,238.5,1.125,1.0,2.0,0.0,0.25,0.25,0.5866141732283464,7.511811023622047,0.03543307086614173,0.031496062992125984,46
Brian Hoyer,HoyeBr00,15.875,26.375,173.375,1.0,0.625,1.75,0.125,0.5,0.25,0.6018957345971564,6.57345971563981,0.037914691943127965,0.023696682464454975,17
Brian Sipe,SipeBr00,10.25,19.25,107.875,0.25,0.875,0.0,0.0,0.25,0.25,0.5324675324675324,5.603896103896104,0.012987012987012988,0.045454545454545456,57
Browning Nagle,NaglBr00,14.5,29.375,176.0,0.625,1.0,1.625,0.0,0.25,0.25,0.49361702127659574,5.991489361702127,0.02127659574468085,0.03404255319148936,4
Bruce Gradkowski,GradBr00,17.125,31.625,163.5,1.125,0.75,2.0,0.0,0.375,0.375,0.541501976284585,5.169960474308301,0.03557312252964427,0.023715415019762844,9
Bubby Brister,BrisBu00,12.25,27.5,199.25,0.75,1.375,2.75,0.0,0.125,0.125,0.44545454545454544,7.245454545454545,0.02727272727272727,0.05,41
Butch Songin,SongBu00,12.25,26.5,173.75,1.625,1.375,0.0,0.0,0.375,0.375,0.46226415094339623,6.556603773584905,0.06132075471698113,0.05188679245283019,12
Byron Leftwich,LeftBy00,17.625,31.625,211.375,0.75,1.5,1.875,0.0,0.25,0.25,0.5573122529644269,6.683794466403162,0.023715415019762844,0.04743083003952569,25
Cade McNown,McNoCa00,17.625,30.625,202.25,1.25,1.25,2.375,0.0,0.25,0.125,0.5755102040816327,6.604081632653061,0.04081632653061224,0.04081632653061224,4
Carson Palmer,PalmCa00,19.625,34.875,210.0,0.75,1.25,2.375,0.0,0.375,0.375,0.5627240143369175,6.021505376344086,0.021505376344086023,0.035842293906810034,93
Chad Henne,ch1,14.625,25.125,154.0,0.625,0.5,2.0,0.25,0.5,0.5,0.582089552238806,6.129353233830845,0.024875621890547265,0.01990049751243781,19
Chad Hutchinson,HutcCh00,14.375,28.375,170.75,0.75,0.875,3.625,0.0,0.25,0.25,0.5066079295154186,6.0176211453744495,0.02643171806167401,0.030837004405286344,3
Chad Pennington,CP01,20.125,27.75,217.75,1.375,0.5,1.5,0.0,0.5,0.5,0.7252252252252253,7.846846846846847,0.04954954954954955,0.018018018018018018,45
Charlie Batch,BatcCh00,15.75,26.875,182.75,0.75,0.75,3.25,0.0,0.375,0.375,0.586046511627907,6.8,0.027906976744186046,0.027906976744186046,26
Charlie Conerly,ConeCh00,7.5,16.625,130.75,1.25,0.875,0.0,0.0,0.875,0.625,0.45112781954887216,7.864661654135339,0.07518796992481203,0.05263157894736842,66
Charlie Frye,FryeCh00,16.75,27.875,172.25,0.625,1.0,3.375,0.0,0.375,0.25,0.600896860986547,6.179372197309417,0.02242152466367713,0.03587443946188341,8
Chris Chandler,ChanCh00,11.625,19.625,145.0,0.75,1.0,1.375,0.0,0.75,0.75,0.5923566878980892,7.388535031847134,0.03821656050955414,0.050955414012738856,69
Chris Miller,MillCh00,14.25,29.0,183.375,0.75,1.875,2.125,0.0,0.125,0.125,0.49137931034482757,6.323275862068965,0.02586206896551724,0.06465517241379311,35
Chris Redman,RedmCh00,15.0,27.25,158.0,1.125,0.75,2.125,0.0,0.375,0.375,0.5504587155963303,5.798165137614679,0.04128440366972477,0.027522935779816515,6
Chris Simms,SimmCh00,17.5,29.875,205.5,0.875,1.0,3.0,0.0,0.375,0.375,0.5857740585774058,6.878661087866109,0.029288702928870293,0.03347280334728033,6
Chris Weinke,WeinCh00,19.125,33.625,198.75,0.75,1.5,1.375,0.0,0.125,0.125,0.5687732342007435,5.910780669144981,0.022304832713754646,0.04460966542750929,1
Christian Ponder,PondCh00,16.5,29.625,204.625,1.375,1.375,3.0,0.75,0.125,0.125,0.5569620253164557,6.9071729957805905,0.046413502109704644,0.046413502109704644,13
Chuck Long,LongCh00,19.0,32.25,205.25,0.875,1.625,2.25,0.0,0.125,0.125,0.5891472868217055,6.364341085271318,0.027131782945736434,0.050387596899224806,4
Cliff Stoudt,StouCl00,13.125,24.125,180.625,0.625,1.5,1.875,0.0,0.375,0.375,0.5440414507772021,7.487046632124352,0.025906735751295335,0.06217616580310881,11
Cody Carlson,CarlCo00,11.625,21.375,147.875,1.0,1.0,1.875,0.0,0.5,0.375,0.543859649122807,6.918128654970761,0.04678362573099415,0.04678362573099415,10
Colin Kaepernick,KaepCo00,16.375,26.125,215.625,1.25,0.375,1.75,1.0,0.625,0.625,0.6267942583732058,8.253588516746412,0.04784688995215311,0.014354066985645933,32
Colt McCoy,McCoCo00,16.875,27.75,197.0,0.75,1.125,2.875,0.125,0.25,0.25,0.6081081081081081,7.099099099099099,0.02702702702702703,0.04054054054054054,9
Cotton Davidson,DaviCo00,12.75,25.75,157.625,0.875,1.125,0.0,0.0,0.375,0.25,0.49514563106796117,6.121359223300971,0.03398058252427184,0.043689320388349516,26
Craig Erickson,EricCr00,12.75,25.375,174.75,1.25,1.5,2.0,0.0,0.25,0.25,0.5024630541871922,6.886699507389163,0.04926108374384237,0.059113300492610835,14
Craig Morton,MortCr00,10.375,19.75,138.375,1.5,1.5,0.0,0.0,0.375,0.25,0.5253164556962026,7.006329113924051,0.0759493670886076,0.0759493670886076,90
Craig Whelihan,WhelCr00,14.5,28.625,168.0,0.75,1.25,2.625,0.0,0.0,0.0,0.5065502183406113,5.868995633187773,0.026200873362445413,0.043668122270742356,2
Damon Huard,HuarDa00,16.375,29.125,162.125,0.875,0.875,3.625,0.0,0.625,0.5,0.5622317596566524,5.5665236051502145,0.030042918454935622,0.030042918454935622,16
Dan Darragh,DarrDa00,9.375,21.5,104.125,0.375,1.375,0.0,0.0,0.125,0.125,0.436046511627907,4.843023255813954,0.01744186046511628,0.06395348837209303,1
Dan Fouts+,FoutDa00,11.25,25.375,159.875,0.875,1.75,0.0,0.0,0.0,0.0,0.4433497536945813,6.300492610837439,0.034482758620689655,0.06896551724137931,89
Dan Marino+,MariDa00,15.5,27.5,194.75,1.875,0.625,1.125,0.0,0.5,0.5,0.5636363636363636,7.081818181818182,0.06818181818181818,0.022727272727272728,154
Dan Orlovsky,OrloDa00,15.5,27.375,178.5,0.75,0.625,1.75,0.375,0.0,0.0,0.5662100456621004,6.52054794520548,0.0273972602739726,0.0228310502283105,2
Dan Pastorini,PastDa00,11.5,25.75,148.625,0.75,2.0,0.0,0.0,0.25,0.25,0.44660194174757284,5.771844660194175,0.02912621359223301,0.07766990291262135,57
Danny Kanell,KaneDa00,12.0,24.375,136.625,0.5,0.5,1.5,0.0,0.625,0.375,0.49230769230769234,5.605128205128205,0.020512820512820513,0.020512820512820513,12
Danny White,dw1,15.0,23.75,181.375,1.25,0.75,0.0,0.0,0.625,0.625,0.631578947368421,7.636842105263158,0.05263157894736842,0.031578947368421054,68
Daryle Lamonica,LamoDa00,6.75,14.875,118.875,0.625,1.0,0.0,0.0,0.625,0.125,0.453781512605042,7.991596638655462,0.04201680672268908,0.06722689075630252,72
Daunte Culpepper,CulpDa00,18.5,30.5,248.0,1.875,1.125,2.625,0.0,0.875,0.875,0.6065573770491803,8.131147540983607,0.06147540983606557,0.036885245901639344,44
Dave Brown,BrowDa00,15.125,25.5,180.875,0.875,1.5,2.375,0.0,0.375,0.375,0.5931372549019608,7.0931372549019605,0.03431372549019608,0.058823529411764705,23
Dave Krieg,KrieDa00,14.875,24.5,185.375,1.375,0.75,3.0,0.0,0.375,0.25,0.6071428571428571,7.566326530612245,0.05612244897959184,0.030612244897959183,103
David Archer,ArchDa00,11.25,20.75,138.625,0.625,1.25,3.25,0.0,0.25,0.125,0.5421686746987951,6.680722891566265,0.030120481927710843,0.060240963855421686,10
David Carr,CarrDa00,13.375,25.875,173.375,0.875,1.0,5.625,0.0,0.25,0.25,0.5169082125603864,6.700483091787439,0.033816425120772944,0.03864734299516908,22
